smallRNAName	NC1	NC2	NC3	NC4	NC5	Pcos1	Pcos2	Pcos3	Pcos4	Pcos5
tsrna-25731	47.43758005	20.59683112	30.99641862	17.61943776	16.319767	35.87937355	33.89970959	21.91322363	33.98894226	22.99643555
tsrna-12359	18.4479478	7.588306203	20.66427908	17.61943776	11.29830023	0	26.36644079	23.90533487	16.99447113	32.85205079
tsrna-15598	13.17710557	11.92448118	16.78972675	8.809718882	12.55366693	23.91958236	18.833172	15.93688992	16.99447113	16.42602539
tsrna-24808	7.906263342	1.084043743	11.62365698	4.404859441	12.55366693	5.979895591	11.2999032	7.968444958	28.32411855	6.570410158
tsrna-01736	23.71879003	7.588306203	5.16606977	13.21457832	7.532200156	35.87937355	75.33268798	11.95266744	11.32964742	6.570410158
tsrna-22331	2.635421114	1.084043743	1.291517443	0	1.255366693	0	3.766634399	1.992111239	5.664823711	0
tsrna-23880	0	5.420218717	0	4.404859441	2.510733385	17.93968677	18.833172	0	39.65376597	9.855615237
tsrna-18691	2.635421114	1.084043743	2.583034885	0	1.255366693	11.95979118	0	5.976333718	5.664823711	9.855615237
tsrna-00596	34.26047448	6.50426246	9.040622098	17.61943776	6.276833463	17.93968677	37.66634399	5.976333718	16.99447113	26.28164063
tsrna-15597	10.54168446	10.84043743	10.33213954	13.21457832	6.276833463	0	3.766634399	9.960556197	22.65929484	19.71123047
tsrna-01754	0	0	0	17.61943776	0	0	7.533268798	0	16.99447113	3.285205079
tsrna-23713	0	0	1.291517443	0	0	0	3.766634399	3.984222479	0	3.285205079
tsrna-25620	0	0	1.291517443	4.404859441	0	0	0	0	0	0
tsrna-04983	0	0	0	26.42915665	0	0	0	0	0	0
tsrna-17455	0	0	0	0	0	0	0	0	0	3.285205079
tsrna-24089	0	0	0	0	0	0	0	0	5.664823711	0
tsrna-04761	0	3.25213123	0	13.21457832	2.510733385	0	3.766634399	5.976333718	0	3.285205079
tsrna-06444	0	0	2.583034885	0	0	0	0	0	0	0
tsrna-20942	0	1.084043743	1.291517443	0	1.255366693	5.979895591	0	1.992111239	0	9.855615237
tsrna-21261	0	0	0	0	0	0	0	1.992111239	0	0
tsrna-14389	2.635421114	0	1.291517443	0	0	0	0	1.992111239	11.32964742	0
tsrna-23529	0	1.084043743	1.291517443	0	1.255366693	0	3.766634399	3.984222479	11.32964742	0
tsrna-10573	0	0	0	0	1.255366693	0	0	0	0	0
tsrna-09723	0	0	1.291517443	0	0	0	3.766634399	0	0	3.285205079
tsrna-19235	2.635421114	0	1.291517443	0	0	5.979895591	0	1.992111239	0	0
tsrna-15103	89.60431787	40.1096185	51.6606977	88.09718882	28.87343393	95.67832946	86.63259118	51.79489223	124.6261216	82.13012697
tsrna-24821	5.270842228	0	3.874552328	0	3.766100078	11.95979118	18.833172	7.968444958	16.99447113	16.42602539
tsrna-03374	2.635421114	0	0	0	0	0	0	0	0	0
