GeneID	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
"FADS2"	277.0	55.0	368.0	161.0	0.0	413.0	247.0	187.0
"MYBPHL"	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"FNTA"	61.0	59.0	111.0	244.0	74.0	85.0	84.0	121.0
"FADS6"	239.0	0.0	7.0	59.0	0.0	65.0	0.0	63.0
"FNTB"	0.0	117.0	0.0	641.0	435.0	0.0	0.0	140.0
"RP11-767I20.1"	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"FADS1"	0.0	0.0	0.0	145.0	5.0	0.0	96.0	84.0
"FBXO18"	669.0	1310.0	766.0	721.0	109.0	327.0	362.0	257.0
"STX8"	418.0	361.0	344.0	32.0	58.0	244.0	28.0	71.0
"FBXO16"	0.0	0.0	0.0	54.0	0.0	0.0	0.0	69.0
"FBXO17"	0.0	72.0	120.0	14.0	0.0	0.0	0.0	70.0
"STX7"	171.0	156.0	0.0	548.0	591.0	14.0	182.0	133.0
"FGD5P1"	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0
"LOC100288152"	160.0	699.0	391.0	0.0	0.0	0.0	26.0	97.0
"FBXO10"	0.0	117.0	96.0	104.0	0.0	0.0	0.0	0.0
"FBXO11"	0.0	118.0	41.0	0.0	165.0	4.0	4.0	143.0
"MINPP1"	0.0	482.0	30.0	190.0	0.0	56.0	0.0	63.0
"LOC642441"	71.0	52.0	2.0	223.0	18.0	1.0	1.0	313.0
"LOC100421583"	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0
"BLK"	529.0	815.0	245.0	1101.0	649.0	201.0	159.0	259.0
"BLM"	0.0	0.0	1.0	136.0	0.0	28.0	0.0	54.0
"IREB2"	1.0	112.0	120.0	117.0	0.0	167.0	80.0	210.0
"LOC100421597"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	114.0
"FBXO47"	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
"FBXO48"	0.0	0.0	0.0	0.0	111.0	1.0	0.0	0.0
"FBXO45"	0.0	81.0	88.0	0.0	0.0	43.0	33.0	0.0
"FBXO46"	0.0	250.0	184.0	93.0	50.0	76.0	57.0	78.0
"FBXO43"	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0
"FBXO44"	153.0	1.0	82.0	125.0	486.0	221.0	145.0	106.0
"FBXO41"	54.0	216.0	21.0	148.0	99.0	75.0	113.0	95.0
"FBXO42"	349.0	126.0	87.0	102.0	3.0	1.0	37.0	217.0
"GRAMD4P3"	0.0	216.0	1.0	0.0	0.0	0.0	0.0	0.0
"FBXO40"	0.0	0.0	0.0	69.0	1.0	0.0	0.0	0.0
"LOC100421591"	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0
"GRAMD4P7"	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0
"LOC100421593"	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0
"GRAMD4P8"	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0
"GRAMD4P5"	0.0	37.0	0.0	0.0	0.0	0.0	0.0	100.0
"MBIP"	0.0	0.0	0.0	39.0	126.0	0.0	101.0	47.0
"BMF"	161.0	135.0	90.0	208.0	139.0	109.0	6.0	0.0
"TACC1P1"	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0
"HTR1F"	0.0	0.0	0.0	48.0	0.0	0.0	0.0	67.0
"FBXO38"	96.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0
"OR3A5P"	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0
"HTR1D"	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0
"FBXO39"	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0
"STYX"	1.0	265.0	91.0	138.0	296.0	49.0	76.0	59.0
"HTR1A"	0.0	231.0	0.0	0.0	0.0	0.0	1.0	1.0
"LOC100288175"	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0
"HTR1B"	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
"RGMB-AS1"	0.0	0.0	0.0	0.0	0.0	0.0	53.0	53.0
"FBXO32"	237.0	59.0	81.0	24.0	1.0	154.0	8.0	11.0
"LOC100288172"	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0
"BMX"	14.0	114.0	0.0	35.0	0.0	0.0	0.0	0.0
"FBXO33"	172.0	72.0	0.0	0.0	0.0	145.0	51.0	128.0
